cod_anuncio;prioridade;cep_2dig;Estado;Cidade
167665;1;9;SP;Santo Andre
26123;1;13;SP;Porto Ferreira
167666;3;85;PR;Palotina
167674;3;88;SC;São Jose
26141;3;68;AP;Macapá
26142;3;89;SC;Joinville
167701;3;88;SC;Criciuma
167707;3;88;SC;Criciuma
26146;3;93;RS;Novo Hamburgo
192506;3;7;SP;Guarulhos
26151;3;60;CE;Fortaleza
26155;3;57;AL;Maceio
167371;3;85;PR;Guarapuava
167377;3;15;SP;São Jose do Rio Preto
167380;1;13;SP;Campinas
26163;3;88;SC;São Jose
167392;3;35;MG;Nova Serrana
167401;3;93;RS;São Leopoldo
167403;3;38;MG;Uberlândia
167409;3;6;SP;Osasco
26187;3;95;RS;Vacaria
167413;3;22;RJ;Rio de Janeiro
167433;2;20;RJ;Rio de Janeiro
26193;3;2;SP;São Paulo
167465;3;85;PR;Toledo
167476;3;25;RJ;São João de Meriti
167481;3;3;SP;São Paulo
167512;1;5;SP;São Paulo
26223;3;16;SP;Birigui
167539;3;15;SP;Nhandeara
26247;2;3;SP;São Paulo
167543;3;25;RJ;São João de Meriti
26279;3;88;SC;Brusque
167557;3;92;RS;Canoas
167558;3;17;SP;Jau
167563;3;6;SP;Carapicui­ba
167564;3;89;SC;Joinville
167566;3;13;SP;Campinas
167584;3;53;PE;Olinda
167156;3;31;MG;Belo Horizonte
26298;1;72;DF;Brasi­lia
167165;3;21;RJ;Rio de Janeiro
167167;3;31;MG;Belo Horizonte
167186;1;5;SP;São Paulo
26328;3;82;PR;Curitiba
167207;2;9;SP;São Bernardo do Campo
26336;3;71;DF;Brasi­lia
167223;3;96;RS;Butiá
26339;2;74;GO;Goiânia
167232;3;12;SP;São Jose dos Campos
167259;3;15;SP;Catanduva
167268;3;58;PB;João Pessoa
167274;3;15;SP;São Jose do Rio Preto
167277;3;9;SP;Santo Andre
167278;3;9;SP;Santo Andre
167280;3;9;SP;Santo Andre
26391;3;18;SP;Itaporanga
167283;3;9;SP;Santo Andre
26405;3;57;AL;Maceio
167286;3;14;SP;Bebedouro
167290;3;9;SP;Santo Andre
167298;3;29;ES;Vitoria
167308;3;88;SC;Florianopolis
167312;3;28;RJ;Nova Friburgo
167315;3;85;PR;Guarapuava
167336;3;89;SC;Presidente Getulio
26432;3;6;SP;Osasco
167340;3;29;ES;Vitoria
26444;3;6;SP;Osasco
26447;3;9;SP;Santo Andre
167346;3;32;MG;Contagem
167350;3;88;SC;Criciuma
167354;3;85;PR;Toledo
167361;3;72;DF;Brasi­lia
167365;3;72;DF;Brasi­lia
166960;1;2;SP;São Paulo
166961;3;89;SC;Blumenau
166970;2;60;CE;Fortaleza
166971;1;80;PR;Curitiba
26495;3;50;PE;Recife
166981;3;3;SP;São Paulo
166986;3;13;SP;Piracicaba
166990;3;13;SP;Piracicaba
26507;3;6;SP;Osasco
167009;3;14;SP;Ribeirão Preto
167018;1;80;PR;Curitiba
167029;3;88;SC;Brusque
167038;1;13;SP;Piracicaba
167051;2;82;PR;Curitiba
167063;3;22;RJ;Rio de Janeiro
167067;3;1;SP;São Paulo
26548;3;94;RS;Viamão
167077;3;50;PE;Recife
167083;3;82;PR;Curitiba
167095;3;83;PR;São Jose dos Pinhais
26559;3;31;MG;Belo Horizonte
167129;1;2;SP;São Paulo
26564;3;1;SP;São Paulo
26567;3;60;CE;Fortaleza
167130;3;9;SP;São Bernardo do Campo
167132;3;11;SP;Praia Grande
192397;1;22;RJ;Rio de Janeiro
166827;3;13;SP;Sumare
166838;3;21;RJ;Rio de Janeiro
166847;3;5;SP;São Paulo
166848;3;16;SP;Andradina
166865;3;13;SP;Campinas
166873;3;89;SC;Blumenau
166875;3;72;DF;Brasi­lia
166877;3;32;MG;Contagem
26616;3;1;SP;São Paulo
166881;3;81;PR;Curitiba
166883;3;75;GO;Rio Verde
166894;3;72;DF;Brasi­lia
166910;3;24;RJ;Niteroi
26639;3;9;SP;São Caetano do Sul
166915;3;44;BA;Feira de Santana
166924;3;8;SP;Poá
166930;3;13;SP;Jundiai­
166941;3;6;SP;Osasco
166943;1;13;SP;Campinas
26659;3;36;MG;Muriae
166949;3;5;SP;São Paulo
192325;1;3;SP;São Paulo
26669;3;70;DF;Brasi­lia
26672;1;18;SP;Mairinque
166638;3;32;MG;Contagem
26680;1;12;SP;São Jose dos Campos
166639;3;32;MG;Contagem
166648;3;81;PR;Curitiba
166655;3;60;CE;Fortaleza
166658;3;72;DF;Brasi­lia
26692;3;88;SC;Araranguá
166660;3;72;DF;Brasi­lia
166663;3;72;DF;Brasi­lia
166665;3;76;RO;Cacoal
26704;1;3;SP;São Paulo
166670;3;89;SC;Joinville
166680;1;24;RJ;Maricá
166684;3;75;GO;Caldas Novas
166689;3;12;SP;Guaratinguetá
166745;3;71;DF;Brasi­lia
166747;3;15;SP;São Jose do Rio Preto
166756;3;80;PR;Curitiba
166759;3;74;GO;Goiânia
166763;3;88;SC;Palhoça
166766;1;5;SP;São Paulo
166770;3;31;MG;Belo Horizonte
166775;1;8;SP;São Paulo
166776;1;8;SP;São Paulo
26747;3;3;SP;São Paulo
26757;3;4;SP;São Paulo
166778;3;36;MG;Ubá
166779;3;28;RJ;Rio das Ostras
166783;3;88;SC;Içara
26768;3;51;PE;Recife
166789;3;89;SC;Joinville
166793;3;24;RJ;Maricá
166796;1;24;RJ;São Gonçalo
166805;3;87;PR;Maringá
192275;3;3;SP;São Paulo
166450;1;6;SP;Osasco
166460;3;13;SP;Piracicaba
166463;3;83;PR;São Jose dos Pinhais
166466;3;93;RS;Campo Bom
166469;1;23;RJ;Rio de Janeiro
166478;3;9;SP;São Caetano do Sul
166479;3;9;SP;São Caetano do Sul
166481;3;74;GO;Aparecida de Goiânia
166491;1;66;PA;Belem
166494;3;41;BA;Salvador
26822;3;71;DF;Brasi­lia
26827;3;84;PR;Ponta Grossa
166498;3;78;MT;Cuiabá
166502;3;78;MT;Cuiabá
166503;3;15;SP;Jales
166509;1;21;RJ;Rio de Janeiro
166514;3;93;RS;Dois Irmãos
166525;1;3;SP;São Paulo
166538;3;89;SC;Blumenau
166540;3;29;ES;Serra
166545;3;85;PR;Cascavel
26862;3;5;SP;São Paulo
166557;3;74;GO;Goiânia
166559;3;14;SP;Franca
26879;3;7;SP;Guarulhos
166564;3;14;SP;Franca
166566;3;14;SP;Franca
166585;3;14;SP;Ribeirão Preto
166594;3;14;SP;Ribeirão Preto
166596;3;88;SC;Florianopolis
166598;3;49;SE;Aracaju
166604;1;88;SC;São Jose
166607;3;60;CE;Fortaleza
166612;3;9;SP;São Bernardo do Campo
166619;3;80;PR;Curitiba
166629;3;3;SP;São Paulo
166633;3;78;MT;Cuiabá
166259;3;31;MG;Belo Horizonte
166260;3;17;SP;Mari­lia
166268;3;3;SP;São Paulo
166272;3;3;SP;São Paulo
166282;3;3;SP;São Paulo
26944;3;75;GO;Rio Verde
166286;3;4;SP;São Paulo
166300;3;81;PR;Curitiba
26951;1;25;RJ;Petropolis
26954;3;13;SP;São Jose do Rio Pardo
166302;3;74;GO;Goiânia
166304;3;88;SC;Florianopolis
26971;3;65;MA;São Lui­s
166316;3;81;PR;Curitiba
26977;3;6;SP;Osasco
26989;2;20;RJ;Rio de Janeiro
166332;3;15;SP;São Jose do Rio Preto
26991;3;32;MG;Contagem
166335;3;72;DF;Brasi­lia
166352;3;21;RJ;Rio de Janeiro
166359;3;18;SP;Sorocaba
166360;3;12;SP;Taubate
166372;3;79;MS;Campo Grande
166374;3;72;DF;Brasi­lia
27022;3;19;SP;Assis
27029;1;13;SP;Piracicaba
166380;3;79;MS;Campo Grande
166390;1;18;SP;Sorocaba
166404;1;5;SP;São Paulo
27042;2;5;SP;São Paulo
166409;1;86;PR;Londrina
166411;3;60;CE;Fortaleza
166424;3;74;GO;Aparecida de Goiânia
166428;3;82;PR;Curitiba
166106;3;13;SP;Jundiai­
166118;2;25;RJ;Guapimirim
166133;3;13;SP;Campinas
166136;3;15;SP;São Jose do Rio Preto
27058;2;4;SP;São Paulo
166142;1;4;SP;São Paulo
166144;3;88;SC;Itajai­
166158;3;91;RS;Porto Alegre
166166;3;36;MG;Juiz de Fora
166170;3;13;SP;Jundiai­
166172;3;71;DF;Brasi­lia
166173;3;38;MG;Uberlândia
166177;3;91;RS;Porto Alegre
166178;3;33;MG;Pedro Leopoldo
166179;3;12;SP;Atibaia
27112;1;85;PR;Cascavel
27113;3;89;SC;Chapeco
27117;3;22;RJ;Rio de Janeiro
27118;3;85;PR;Cascavel
166191;3;88;SC;Florianopolis
166193;3;4;SP;São Paulo
166197;3;4;SP;São Paulo
166216;3;27;RJ;Volta Redonda
166217;3;82;PR;Curitiba
27142;3;6;SP;Cotia
166226;3;30;MG;Belo Horizonte
166233;3;89;SC;igua Doce
166242;3;41;BA;Salvador
166244;3;35;MG;Divinopolis
166245;3;49;SE;Itabaiana
166249;3;80;PR;Curitiba
166254;3;8;SP;Mogi das Cruzes
166255;3;93;RS;Campo Bom
192157;3;2;SP;São Paulo
27203;3;97;RS;Santa Maria
165950;3;80;PR;Curitiba
165959;3;17;SP;Mari­lia
165962;3;71;DF;Brasi­lia
165971;3;4;SP;São Paulo
27221;1;57;AL;Maceio
165972;3;4;SP;São Paulo
