cod_anuncio;prioridade;cep_2dig;Estado;Cidade
2;3;75;GO;Itumbiara
6;3;6;SP;Osasco
8;3;2;SP;São Paulo
13;2;4;SP;São Paulo
15;2;5;SP;São Paulo
18;3;90;RS;Porto Alegre
21;2;12;SP;São Jose dos Campos
22;2;5;SP;São Paulo
29;2;4;SP;São Paulo
31;2;9;SP;Santo Andre
32;2;4;SP;São Paulo
40;1;13;SP;Jundiai­
43;1;18;SP;Ipero
45;1;12;SP;São Jose dos Campos
46;1;14;SP;Ribeirão Preto
51;1;1;SP;São Paulo
55;1;2;SP;São Paulo
56;1;3;SP;São Paulo
65;1;2;SP;São Paulo
68;1;5;SP;São Paulo
69;1;13;SP;Leme
75;1;4;SP;São Paulo
80;1;11;SP;Guarujá
84;1;9;SP;Santo Andre
90;1;38;MG;Uberaba
95;1;8;SP;Poá
96;1;1;SP;São Paulo
108;1;70;DF;Brasi­lia
110;1;1;SP;São Paulo
112;1;4;SP;São Paulo
117;1;9;SP;São Bernardo do Campo
122;1;5;SP;São Paulo
123;1;1;SP;São Paulo
131;1;27;RJ;Volta Redonda
133;1;4;SP;São Paulo
134;1;4;SP;São Paulo
146;1;1;SP;São Paulo
148;1;5;SP;São Paulo
153;1;3;SP;São Paulo
156;1;1;SP;São Paulo
157;1;1;SP;São Paulo
162;1;6;SP;Osasco
163;1;22;RJ;Rio de Janeiro
165;1;1;SP;São Paulo
166;1;4;SP;São Paulo
167;1;4;SP;São Paulo
169;1;4;SP;São Paulo
173;1;30;MG;Belo Horizonte
174;3;75;GO;Caldas Novas
175;1;1;SP;São Paulo
180;1;1;SP;São Paulo
183;1;1;SP;São Paulo
184;1;4;SP;São Paulo
192;1;6;SP;Santana de Parnai­ba
200;1;12;SP;São Jose dos Campos
202;1;7;SP;Guarulhos
205;1;1;SP;São Paulo
210;1;1;SP;São Paulo
220;1;13;SP;Campinas
221;1;9;SP;São Caetano do Sul
223;3;13;SP;Campinas
225;1;2;SP;São Paulo
226;1;1;SP;São Paulo
231;1;18;SP;Piedade
232;1;1;SP;São Paulo
236;1;26;RJ;Miguel Pereira
238;1;5;SP;São Paulo
239;1;1;SP;São Paulo
243;2;64;PI;Teresina
244;1;3;SP;São Paulo
248;1;5;SP;São Paulo
250;3;35;MG;Divinopolis
252;1;1;SP;São Paulo
253;1;1;SP;São Paulo
267;1;1;SP;São Paulo
268;1;1;SP;São Paulo
277;1;1;SP;São Paulo
280;3;68;PA;Santarem
281;1;5;SP;São Paulo
285;1;1;SP;São Paulo
297;1;6;SP;Osasco
299;1;3;SP;São Paulo
300;1;21;RJ;Rio de Janeiro
301;1;1;SP;São Paulo
303;3;9;SP;São Bernardo do Campo
307;3;68;PA;Santarem
313;3;1;SP;São Paulo
320;1;4;SP;São Paulo
321;3;81;PR;Curitiba
322;3;89;SC;Major Vieira
323;1;22;RJ;Rio de Janeiro
325;3;5;SP;São Paulo
335;3;96;RS;Rio Grande
336;3;94;RS;Viamão
337;1;1;SP;São Paulo
340;3;3;SP;São Paulo
342;1;5;SP;São Paulo
347;3;9;SP;São Bernardo do Campo
349;2;11;SP;Santos
359;1;4;SP;São Paulo
368;3;94;RS;Viamão
373;1;36;MG;Barbacena
380;2;81;PR;Curitiba
388;1;1;SP;São Paulo
400;1;70;DF;Brasi­lia
401;2;87;PR;Umuarama
405;1;21;RJ;Rio de Janeiro
411;2;1;SP;São Paulo
412;1;4;SP;São Paulo
417;3;4;SP;São Paulo
418;3;81;PR;Curitiba
423;3;21;RJ;Rio de Janeiro
431;1;12;SP;Taubate
433;3;1;SP;São Paulo
434;1;1;SP;São Paulo
445;1;1;SP;São Paulo
455;1;59;RN;Natal
457;1;2;SP;São Paulo
462;1;4;SP;São Paulo
470;2;5;SP;São Paulo
478;3;2;SP;São Paulo
484;3;29;ES;Vitoria
486;1;2;SP;São Paulo
490;3;89;SC;Caçador
491;1;5;SP;São Paulo
492;1;7;SP;Guarulhos
495;3;89;SC;Chapeco
496;1;7;SP;Guarulhos
503;3;4;SP;São Paulo
504;3;5;SP;São Paulo
505;1;22;RJ;Rio de Janeiro
509;1;4;SP;São Paulo
511;1;1;SP;São Paulo
516;1;22;RJ;Rio de Janeiro
517;1;3;SP;São Paulo
518;1;22;RJ;Rio de Janeiro
520;3;31;MG;Belo Horizonte
521;3;15;SP;São Jose do Rio Preto
525;3;14;SP;Barretos
529;1;5;SP;São Paulo
532;1;4;SP;São Paulo
535;1;12;SP;Atibaia
536;1;9;SP;São Bernardo do Campo
537;2;25;RJ;Petropolis
538;1;71;DF;Brasi­lia
546;1;5;SP;São Paulo
547;3;16;SP;Araçatuba
552;3;30;MG;Belo Horizonte
558;1;1;SP;São Paulo
568;3;22;RJ;Rio de Janeiro
569;3;30;MG;Belo Horizonte
571;1;93;RS;São Leopoldo
577;2;4;SP;São Paulo
578;3;15;SP;São Jose do Rio Preto
592;1;91;RS;Porto Alegre
597;1;3;SP;São Paulo
601;1;90;RS;Porto Alegre
609;1;51;PE;Recife
614;1;82;PR;Curitiba
618;1;4;SP;São Paulo
624;1;5;SP;São Paulo
628;3;93;RS;Novo Hamburgo
638;1;17;SP;Dracena
649;1;5;SP;São Paulo
653;2;4;SP;São Paulo
658;1;82;PR;Curitiba
661;1;13;SP;Pauli­nia
665;3;4;SP;São Paulo
666;3;11;SP;Cubatão
669;3;5;SP;São Paulo
671;3;3;SP;São Paulo
672;2;4;SP;São Paulo
673;3;5;SP;São Paulo
680;3;14;SP;Ituverava
685;2;3;SP;São Paulo
687;1;1;SP;São Paulo
690;3;3;SP;São Paulo
691;3;89;SC;Presidente Getulio
693;1;5;SP;São Paulo
695;1;6;SP;Barueri
697;1;4;SP;São Paulo
707;3;3;SP;São Paulo
709;1;4;SP;São Paulo
712;1;41;BA;Salvador
715;3;12;SP;Taubate
719;3;78;MT;Sorriso
722;3;11;SP;Praia Grande
729;3;9;SP;Santo Andre
730;1;2;SP;São Paulo
731;3;42;BA;Camaçari
732;1;4;SP;São Paulo
733;3;5;SP;São Paulo
735;1;2;SP;São Paulo
747;1;29;ES;São Mateus
762;1;6;SP;Cotia
773;1;9;SP;São Caetano do Sul
776;3;30;MG;Belo Horizonte
792;2;2;SP;São Paulo
795;3;13;SP;Campinas
802;3;1;SP;São Paulo
814;1;19;SP;Presidente Prudente
815;3;5;SP;São Paulo
816;2;13;SP;Campinas
818;3;24;RJ;Niteroi
823;1;2;SP;São Paulo
829;1;37;MG;Camanducaia
834;3;13;SP;Capivari
836;2;4;SP;São Paulo
839;3;15;SP;São Jose do Rio Preto
841;2;1;SP;São Paulo
842;2;9;SP;São Bernardo do Campo
846;1;30;MG;Belo Horizonte
849;3;13;SP;São João da Boa Vista
850;3;88;SC;Florianopolis
851;3;8;SP;São Paulo
853;2;13;SP;Campinas
856;3;2;SP;São Paulo
857;3;14;SP;Ribeirão Preto
859;3;15;SP;São Jose do Rio Preto
860;3;22;RJ;Rio de Janeiro
867;3;89;SC;Fraiburgo
874;3;88;SC;Itajai­
879;1;22;RJ;Rio de Janeiro
882;3;82;PR;Curitiba
886;2;1;SP;São Paulo
891;1;6;SP;Cotia
906;2;1;SP;São Paulo
907;2;9;SP;São Caetano do Sul
915;1;2;SP;São Paulo
918;1;22;RJ;Rio de Janeiro
921;1;6;SP;Santana de Parnai­ba
928;1;8;SP;Mogi das Cruzes
931;3;65;MA;São Lui­s
940;3;38;MG;Uberlândia
944;3;2;SP;São Paulo
948;3;60;CE;Fortaleza
952;1;9;SP;Santo Andre
957;3;4;SP;São Paulo
966;2;4;SP;São Paulo
967;1;22;RJ;Rio de Janeiro
976;1;6;SP;Osasco
979;2;6;SP;Santana de Parnai­ba
980;2;8;SP;São Paulo
982;3;4;SP;São Paulo
987;2;13;SP;Jundiai­
988;1;13;SP;Campinas
989;2;1;SP;São Paulo
990;3;86;PR;Londrina
992;3;59;RN;Natal
994;1;90;RS;Porto Alegre
996;3;30;MG;Belo Horizonte
1006;1;1;SP;São Paulo
1012;3;15;SP;Catanduva
1014;3;89;SC;Garuva
1018;3;12;SP;Taubate
1020;3;24;RJ;Niteroi
1021;2;3;SP;São Paulo
1024;3;13;SP;Jaguariuna
1029;1;12;SP;São Jose dos Campos
1031;1;89;SC;Joinville
1044;3;12;SP;Taubate
1045;1;13;SP;Itatiba
1046;1;15;SP;São Jose do Rio Preto
1052;3;13;SP;Itu
1061;3;4;SP;São Paulo
1070;1;9;SP;Santo Andre
1072;3;2;SP;São Paulo
1077;3;36;MG;Juiz de Fora
1080;3;30;MG;Belo Horizonte
1082;3;34;MG;Nova Lima
1093;1;9;SP;São Caetano do Sul
1098;1;4;SP;São Paulo
1099;2;3;SP;São Paulo
1104;3;5;SP;São Paulo
1105;3;2;SP;São Paulo
1106;1;22;RJ;Rio de Janeiro
1124;1;22;RJ;Rio de Janeiro
1125;1;13;SP;Jundiai­
1128;2;11;SP;Praia Grande
1145;3;85;PR;Pato Branco
1146;2;22;RJ;Rio de Janeiro
1150;1;3;SP;São Paulo
1151;1;13;SP;Limeira
1155;3;9;SP;São Bernardo do Campo
1177;2;30;MG;Belo Horizonte
1179;3;22;RJ;Rio de Janeiro
1182;1;31;MG;Belo Horizonte
1189;1;4;SP;São Paulo
1196;3;91;RS;Porto Alegre
1199;3;13;SP;Valinhos
1213;3;12;SP;São Jose dos Campos
1217;1;4;SP;São Paulo
1219;3;31;MG;Belo Horizonte
1223;1;22;RJ;Rio de Janeiro
1225;3;89;SC;Blumenau
1227;1;14;SP;Ribeirão Preto
1228;1;8;SP;São Paulo
195750;3;90;RS;Porto Alegre
195743;3;1;SP;São Paulo
1242;3;31;MG;Belo Horizonte
1243;3;50;PE;Recife
1244;3;50;PE;Recife
1250;2;2;SP;São Paulo
1252;3;95;RS;Caxias do Sul
1253;3;8;SP;São Paulo
1255;3;22;RJ;Rio de Janeiro
195739;3;24;RJ;São Gonçalo
195732;3;4;SP;São Paulo
1264;3;3;SP;São Paulo
1267;1;3;SP;São Paulo
195723;3;65;MA;São Lui­s
1273;1;4;SP;São Paulo
1274;2;4;SP;São Paulo
1276;3;13;SP;Campinas
1279;1;8;SP;Suzano
1282;1;12;SP;Taubate
1284;1;12;SP;Taubate
1292;1;12;SP;Taubate
1296;3;72;DF;Brasi­lia
195722;3;28;RJ;Nova Friburgo
1301;1;7;SP;Arujá
195707;3;79;MS;Dourados
1309;2;5;SP;São Paulo
1310;1;70;DF;Brasi­lia
1311;1;13;SP;Pirassununga
195703;3;90;RS;Porto Alegre
1315;1;18;SP;São Roque
195698;3;14;SP;Ribeirão Preto
1322;3;85;PR;Cascavel
1329;1;1;SP;São Paulo
1330;3;7;SP;Guarulhos
1331;3;2;SP;São Paulo
1333;2;89;SC;Joinville
195687;3;84;PR;Ponta Grossa
1340;2;9;SP;São Bernardo do Campo
1341;3;4;SP;São Paulo
195678;3;4;SP;São Paulo
1344;1;20;RJ;Rio de Janeiro
195675;3;21;RJ;Rio de Janeiro
1348;3;4;SP;São Paulo
1351;1;14;SP;Ribeirão Preto
1355;1;41;BA;Salvador
1357;1;20;RJ;Rio de Janeiro
1359;1;30;MG;Belo Horizonte
1364;3;1;SP;São Paulo
1365;3;7;SP;Guarulhos
1369;3;1;SP;São Paulo
195669;3;21;RJ;Rio de Janeiro
1377;2;16;SP;Araçatuba
195674;3;19;SP;Paraguaçu Paulista
195664;3;89;SC;Rio do Sul
1387;3;18;SP;São Roque
1388;1;6;SP;Osasco
195662;3;30;MG;Belo Horizonte
1411;3;4;SP;São Paulo
195655;3;2;SP;São Paulo
1414;2;13;SP;Piracicaba
195650;3;8;SP;São Paulo
1417;1;9;SP;São Caetano do Sul
195642;3;82;PR;Curitiba
1436;3;5;SP;São Paulo
1450;1;88;SC;Balneário Camboriu
195636;3;89;SC;Taio
1453;3;4;SP;São Paulo
1462;1;6;SP;Embu das Artes
1469;1;91;RS;Porto Alegre
195634;3;80;PR;Curitiba
1481;1;22;RJ;Rio de Janeiro
1486;3;4;SP;São Paulo
1492;2;13;SP;Vinhedo
1494;2;4;SP;São Paulo
195631;3;13;SP;Campinas
1511;1;37;MG;Extrema
1514;3;13;SP;iguas de Lindoia
195626;3;18;SP;Botucatu
1516;1;31;MG;Belo Horizonte
1518;1;20;RJ;Rio de Janeiro
1520;3;7;SP;Caieiras
1524;3;3;SP;São Paulo
1532;1;16;SP;Penápolis
1534;3;89;SC;Joinville
1537;3;3;SP;São Paulo
1540;3;60;CE;Fortaleza
1543;3;71;DF;Brasi­lia
1544;3;9;SP;São Caetano do Sul
1551;1;4;SP;São Paulo
195624;3;9;SP;São Caetano do Sul
1557;2;6;SP;Osasco
1558;1;2;SP;São Paulo
1565;3;4;SP;São Paulo
1566;1;4;SP;São Paulo
195618;3;85;PR;Cascavel
1572;1;4;SP;São Paulo
195608;3;14;SP;Ribeirão Preto
1576;2;6;SP;Santana de Parnai­ba
195597;3;16;SP;Araçatuba
1586;1;13;SP;Ribeirão Bonito
195594;3;31;MG;Belo Horizonte
1592;1;14;SP;Cravinhos
1597;3;4;SP;São Paulo
1603;1;2;SP;São Paulo
1618;3;13;SP;Jundiai­
1627;2;4;SP;São Paulo
1630;1;13;SP;São Carlos
1637;1;81;PR;Curitiba
1638;1;5;SP;São Paulo
1639;2;9;SP;Santo Andre
1640;3;5;SP;São Paulo
1642;3;6;SP;Osasco
195580;3;25;RJ;Duque de Caxias
1659;1;14;SP;Ribeirão Preto
1664;1;13;SP;Campinas
1667;3;4;SP;São Paulo
1668;2;4;SP;São Paulo
1669;1;12;SP;Jacarei­
1686;3;4;SP;São Paulo
1693;1;13;SP;São Jose do Rio Pardo
1703;3;13;SP;Amparo
195576;3;28;RJ;Cabo Frio
195575;3;25;RJ;Duque de Caxias
1714;3;9;SP;São Bernardo do Campo
1716;1;2;SP;São Paulo
1717;2;3;SP;São Paulo
195554;3;83;PR;São Jose dos Pinhais
195571;3;88;SC;Florianopolis
1724;3;24;RJ;São Gonçalo
1730;3;90;RS;Porto Alegre
1731;3;9;SP;São Caetano do Sul
1736;3;94;RS;Viamão
1739;3;5;SP;São Paulo
195552;3;17;SP;Mari­lia
1746;3;4;SP;São Paulo
1748;3;3;SP;São Paulo
195546;3;78;MT;Várzea Grande
195540;3;25;RJ;São João de Meriti
1759;3;79;MS;Nova Andradina
1762;1;13;SP;Pirassununga
1766;1;13;SP;Piracicaba
1768;3;89;SC;Taio
195535;3;74;GO;Goiânia
1772;3;9;SP;Santo Andre
1773;3;15;SP;Oli­mpia
195529;3;21;RJ;Rio de Janeiro
1792;3;94;RS;Cachoeirinha
1809;3;93;RS;Esteio
1812;1;88;SC;Florianopolis
1815;1;25;RJ;Petropolis
1821;2;9;SP;Diadema
1824;2;4;SP;São Paulo
1826;3;9;SP;Mauá
1830;2;4;SP;São Paulo
1831;3;9;SP;São Caetano do Sul
1842;1;5;SP;São Paulo
195513;3;13;SP;Itupeva
1847;3;88;SC;Balneário Camboriu
1849;2;4;SP;São Paulo
1851;3;64;PI;Picos
1852;3;64;PI;Picos
195503;3;79;MS;Três Lagoas
1857;3;64;PI;Picos
195498;3;78;MT;Primavera do Leste
195496;3;15;SP;São Jose do Rio Preto
1861;1;22;RJ;Rio de Janeiro
1866;3;29;ES;Vitoria
195494;3;22;RJ;Rio de Janeiro
1873;1;71;DF;Brasi­lia
1874;1;20;RJ;Rio de Janeiro
1881;3;94;RS;Alvorada
195484;3;15;SP;São Jose do Rio Preto
1889;2;8;SP;São Paulo
1890;3;9;SP;Santo Andre
1898;1;22;RJ;Rio de Janeiro
1900;3;8;SP;São Paulo
1901;1;2;SP;São Paulo
1903;1;1;SP;São Paulo
1909;1;91;RS;Porto Alegre
1912;1;2;SP;São Paulo
1915;2;5;SP;São Paulo
195477;3;22;RJ;Rio de Janeiro
1929;3;90;RS;Porto Alegre
1933;3;13;SP;Jundiai­
1940;1;30;MG;Belo Horizonte
1941;1;4;SP;São Paulo
1942;2;5;SP;São Paulo
195460;3;9;SP;São Bernardo do Campo
1945;3;4;SP;São Paulo
1963;3;7;SP;Guarulhos
1976;3;4;SP;São Paulo
1982;3;1;SP;São Paulo
1983;1;5;SP;São Paulo
1984;3;4;SP;São Paulo
1986;3;95;RS;Veranopolis
1999;3;4;SP;São Paulo
2004;3;6;SP;Osasco
2005;1;4;SP;São Paulo
2006;3;95;RS;Lagoa Vermelha
2022;2;91;RS;Porto Alegre
2025;3;3;SP;São Paulo
2028;1;88;SC;Florianopolis
2030;1;21;RJ;Rio de Janeiro
2038;3;3;SP;São Paulo
2040;2;6;SP;Taboão da Serra
2044;3;8;SP;São Paulo
2052;2;5;SP;São Paulo
195455;3;31;MG;Belo Horizonte
195454;3;25;RJ;Duque de Caxias
2066;1;12;SP;São Jose dos Campos
2067;3;4;SP;São Paulo
195449;3;15;SP;São Jose do Rio Preto
195418;3;2;SP;São Paulo
2081;3;7;SP;Guarulhos
195415;3;74;GO;Goiânia
195414;3;40;BA;Salvador
2097;3;7;SP;Guarulhos
2101;2;1;SP;São Paulo
2104;3;80;PR;Curitiba
2105;3;1;SP;São Paulo
2115;3;32;MG;Contagem
2117;1;15;SP;Bálsamo
2120;2;1;SP;São Paulo
2126;3;5;SP;São Paulo
2133;3;1;SP;São Paulo
2137;3;15;SP;São Jose do Rio Preto
2147;1;20;RJ;Rio de Janeiro
2149;1;4;SP;São Paulo
2152;3;5;SP;São Paulo
2157;3;3;SP;São Paulo
2160;1;22;RJ;Rio de Janeiro
2162;3;13;SP;Jundiai­
195406;3;23;RJ;Itaguai­
2171;3;6;SP;Cotia
2174;3;88;SC;Maracajá
2177;3;3;SP;São Paulo
2179;2;3;SP;São Paulo
195403;3;13;SP;Jaguariuna
2187;2;88;SC;São Jose
2188;2;9;SP;Santo Andre
2193;1;9;SP;Santo Andre
2194;2;22;RJ;Rio de Janeiro
2200;3;2;SP;São Paulo
195395;3;40;BA;Salvador
2216;1;13;SP;Louveira
195391;3;60;CE;Fortaleza
2224;1;74;GO;Goiânia
2229;2;3;SP;São Paulo
2230;2;13;SP;Campinas
2231;1;13;SP;Jundiai­
2234;3;3;SP;São Paulo
195388;3;78;MT;Várzea Grande
195384;3;4;SP;São Paulo
2237;3;22;RJ;Rio de Janeiro
2239;1;18;SP;Sorocaba
2240;2;25;RJ;Petropolis
2241;3;88;SC;São Jose
2244;1;22;RJ;Rio de Janeiro
2245;2;7;SP;Guarulhos
2246;3;14;SP;Araraquara
2248;1;22;RJ;Rio de Janeiro
195381;3;64;PI;Teresina
2266;2;4;SP;São Paulo
2268;3;3;SP;São Paulo
195375;3;88;SC;Guabiruba
2285;1;22;RJ;Rio de Janeiro
2292;3;89;SC;Curitibanos
2295;1;13;SP;Piracicaba
2296;1;11;SP;Santos
2298;1;4;SP;São Paulo
2299;1;9;SP;São Bernardo do Campo
2306;2;6;SP;Barueri
195368;3;15;SP;Taquaritinga
2310;1;2;SP;São Paulo
2311;2;4;SP;São Paulo
2314;3;88;SC;Itajai­
2316;1;13;SP;Jundiai­
195359;3;15;SP;São Jose do Rio Preto
2331;1;13;SP;Campinas
2337;3;64;PI;Picos
2340;3;32;MG;Contagem
2342;2;1;SP;São Paulo
195357;3;2;SP;São Paulo
2347;3;4;SP;São Paulo
195347;3;80;PR;Curitiba
195346;3;13;SP;Campinas
195344;3;6;SP;Cotia
2369;2;80;PR;Curitiba
2370;3;83;PR;Rio Branco do Sul
195336;3;13;SP;Campinas
195324;3;25;RJ;Duque de Caxias
195317;3;30;MG;Belo Horizonte
2378;3;66;PA;Belem
2380;3;66;PA;Belem
2382;2;3;SP;São Paulo
195307;3;58;PB;João Pessoa
195294;3;82;PR;Curitiba
2386;1;54;PE;Santo Agostinho
2388;3;5;SP;São Paulo
195276;3;23;RJ;Rio de Janeiro
2417;1;3;SP;São Paulo
2422;3;66;PA;Belem
195274;3;89;SC;Joinville
2432;3;65;MA;São Lui­s
2434;1;4;SP;São Paulo
195267;3;20;RJ;Rio de Janeiro
195253;3;80;PR;Curitiba
195241;3;4;SP;São Paulo
195239;3;1;SP;São Paulo
195233;3;21;RJ;Rio de Janeiro
2470;3;65;MA;São Lui­s
195225;3;17;SP;Adamantina
195215;3;27;RJ;Volta Redonda
195209;3;80;PR;Curitiba
2490;3;1;SP;São Paulo
195194;3;5;SP;São Paulo
2505;3;64;PI;Picos
2509;1;70;DF;Brasi­lia
2513;3;64;PI;Picos
195186;3;5;SP;São Paulo
195182;3;79;MS;Campo Grande
195181;3;30;MG;Belo Horizonte
195175;3;29;ES;Vila Velha
2542;2;3;SP;São Paulo
195171;3;38;MG;Uberlândia
2557;1;5;SP;São Paulo
2559;1;18;SP;Cerqueira Cesar
2562;1;86;PR;Londrina
2570;1;74;GO;Goiânia
2574;1;57;AL;Maceio
195169;3;18;SP;Sorocaba
2577;3;88;SC;Criciuma
195164;3;36;MG;Juiz de Fora
2583;1;39;MG;Três Marias
2587;1;25;RJ;Petropolis
2588;1;25;RJ;Petropolis
2590;3;15;SP;São Jose do Rio Preto
195155;3;3;SP;São Paulo
2595;1;1;SP;São Paulo
195152;3;3;SP;São Paulo
195151;3;12;SP;Guaratinguetá
2610;1;3;SP;São Paulo
2613;1;4;SP;São Paulo
195145;3;80;PR;Curitiba
195146;3;13;SP;Campinas
2622;3;32;MG;Betim
2623;3;60;CE;Fortaleza
2634;2;8;SP;Suzano
2637;3;85;PR;Pato Branco
195143;3;83;PR;São Jose dos Pinhais
195140;3;1;SP;São Paulo
2643;3;39;MG;Diamantina
195139;3;1;SP;São Paulo
2652;1;5;SP;São Paulo
2660;3;94;RS;Gravatai­
2668;3;15;SP;São Jose do Rio Preto
195133;3;38;MG;Araxá
2684;3;5;SP;São Paulo
195129;3;72;DF;Brasi­lia
2691;3;2;SP;São Paulo
2693;3;7;SP;Guarulhos
2696;3;9;SP;São Caetano do Sul
2702;1;11;SP;Santos
2704;2;4;SP;São Paulo
2705;1;59;RN;Natal
195122;3;81;PR;Curitiba
195123;3;6;SP;Barueri
2733;3;9;SP;São Bernardo do Campo
2735;3;96;RS;Canguçu
2740;3;3;SP;São Paulo
195120;3;9;SP;São Bernardo do Campo
2744;3;87;PR;Paranavai­
2748;2;7;SP;Guarulhos
195116;3;18;SP;Sorocaba
195108;3;90;RS;Porto Alegre
2753;1;30;MG;Belo Horizonte
195098;3;49;SE;Aracaju
195086;3;88;SC;Brusque
195080;3;9;SP;São Bernardo do Campo
195066;3;38;MG;Uberaba
2764;3;2;SP;São Paulo
2770;1;13;SP;Jundiai­
2775;3;79;MS;Campo Grande
2782;3;8;SP;São Paulo
195062;3;13;SP;Campinas
2785;3;89;SC;Joinville
195059;3;14;SP;Ribeirão Preto
2789;3;72;GO;Valparai­so de Goiás
2791;3;89;SC;Joinville
2793;1;5;SP;São Paulo
195052;3;37;MG;Varginha
195050;3;9;SP;São Bernardo do Campo
195039;3;85;PR;Toledo
2802;2;13;SP;Campinas
2805;3;8;SP;Mogi das Cruzes
195041;3;3;SP;São Paulo
2810;3;14;SP;Ribeirão Preto
195046;3;9;SP;São Bernardo do Campo
195035;3;9;SP;São Bernardo do Campo
195031;3;9;SP;São Bernardo do Campo
195025;3;69;AC;Rio Branco
195027;3;15;SP;Catanduva
195024;3;40;BA;Salvador
2840;3;4;SP;São Paulo
2841;1;88;SC;Florianopolis
195019;3;20;RJ;Rio de Janeiro
2852;3;59;RN;Natal
195013;3;40;BA;Salvador
2859;3;12;SP;Taubate
2861;3;4;SP;São Paulo
195010;3;31;MG;Belo Horizonte
194993;3;5;SP;São Paulo
2869;3;1;SP;São Paulo
194995;3;9;SP;São Bernardo do Campo
2875;3;5;SP;São Paulo
2877;1;17;SP;Boraceia
194977;3;75;GO;Itumbiara
194974;3;25;RJ;São João de Meriti
2899;1;22;RJ;Rio de Janeiro
2907;3;39;MG;Araçuai­
2908;3;18;SP;Araçariguama
2910;1;2;SP;São Paulo
2912;3;1;SP;São Paulo
2923;3;19;SP;Presidente Prudente
194971;3;45;BA;Jaguaquara
194955;3;3;SP;São Paulo
2940;3;22;RJ;Rio de Janeiro
194935;3;81;PR;Curitiba
2942;3;2;SP;São Paulo
2945;1;66;PA;Belem
2948;3;89;SC;Curitibanos
194930;3;65;MA;São Lui­s
2952;3;15;SP;São Jose do Rio Preto
2953;2;7;SP;Guarulhos
2954;3;89;SC;Joinville
194917;3;71;DF;Brasi­lia
2961;1;7;SP;Guarulhos
2963;1;4;SP;São Paulo
2967;3;22;RJ;Rio de Janeiro
2971;2;3;SP;São Paulo
2985;1;41;BA;Salvador
2993;1;1;SP;São Paulo
2997;1;59;RN;Natal
194915;3;4;SP;São Paulo
3004;3;30;MG;Belo Horizonte
194908;3;76;RO;Cacoal
3014;3;9;SP;São Caetano do Sul
194895;3;11;SP;Praia Grande
3046;2;5;SP;São Paulo
3047;3;15;SP;São Jose do Rio Preto
194897;3;54;PE;Jaboatão dos Guararapes
194893;3;81;PR;Curitiba
194890;3;37;MG;Poços de Caldas
194887;3;11;SP;Praia Grande
3075;1;91;RS;Porto Alegre
3077;3;17;SP;Bauru
194885;3;31;MG;Belo Horizonte
3083;3;65;MA;São Lui­s
3087;2;2;SP;São Paulo
3089;3;17;SP;Bauru
3090;3;84;PR;Castro
3098;3;39;MG;Montes Claros
194879;3;30;MG;Belo Horizonte
3108;3;47;BA;Lui­s Eduardo Magalhães
194881;3;88;SC;Balneário Camboriu
3117;1;7;SP;Guarulhos
3118;2;15;SP;São Jose do Rio Preto
3124;3;13;SP;Campinas
194856;3;89;SC;Joaçaba
3127;1;1;SP;São Paulo
3128;3;13;SP;Campinas
194857;3;89;SC;Joaçaba
194847;3;2;SP;São Paulo
194835;3;88;SC;Florianopolis
3134;3;47;BA;Lui­s Eduardo Magalhães
3138;3;9;SP;Santo Andre
194836;3;18;SP;Boituva
194833;3;2;SP;São Paulo
3153;1;13;SP;Campinas
3156;3;16;SP;Birigui
194822;3;93;RS;Sapucaia do Sul
3164;1;13;SP;Jundiai­
194820;3;18;SP;Itapetininga
3169;3;38;MG;Patos de Minas
3170;3;38;MG;Patos de Minas
194809;3;13;SP;Jundiai­
3176;1;1;SP;São Paulo
194810;3;89;SC;Joinville
194799;3;9;SP;São Bernardo do Campo
3191;2;2;SP;São Paulo
3193;3;35;MG;Lagoa da Prata
3198;2;5;SP;São Paulo
194805;3;32;MG;Contagem
194795;3;13;SP;Jundiai­
3204;2;20;RJ;Rio de Janeiro
3206;3;89;SC;Joinville
3210;3;74;GO;Goiânia
194791;3;72;DF;Gama
3213;3;79;MS;São Gabriel do Oeste
3218;3;21;RJ;Rio de Janeiro
3221;3;58;PB;João Pessoa
194787;3;15;SP;Catanduva
194778;3;13;SP;Pauli­nia
3228;2;5;SP;São Paulo
194783;3;13;SP;Jundiai­
3234;3;21;RJ;Rio de Janeiro
3244;3;4;SP;São Paulo
3249;3;14;SP;Araraquara
3261;1;5;SP;São Paulo
3269;1;24;RJ;Niteroi
194773;3;88;SC;Florianopolis
194776;3;20;RJ;Rio de Janeiro
3283;3;28;RJ;Cabo Frio
3293;1;13;SP;Campinas
194766;3;22;RJ;Rio de Janeiro
194756;3;18;SP;Sorocaba
3310;3;89;SC;Joinville
3315;2;1;SP;São Paulo
194747;3;4;SP;São Paulo
194735;3;13;SP;Jundiai­
194731;3;15;SP;São Jose do Rio Preto
3332;1;4;SP;São Paulo
194725;3;83;PR;Rio Negro
3337;2;3;SP;São Paulo
3344;3;88;SC;Itajai­
194723;3;37;MG;Monte Sião
194724;3;86;PR;Londrina
3368;3;34;MG;Nova Lima
3369;3;87;PR;Sarandi
194722;3;9;SP;São Caetano do Sul
3373;2;51;PE;Recife
194709;3;15;SP;São Jose do Rio Preto
194697;1;5;SP;São Paulo
3402;3;4;SP;São Paulo
