cod_cliente;flg_unico_dono;flg_licenciado;flg_ipva_pago;flg_todas_revisoes_concessionaria;flg_garantia_fabrica;flg_blindado;flg_aceita_troca;flg_adaptado_pcd
14845;0;1;10;0;0;1;0;0
19137;1;1;0;0;0;0;1;0
16096;0;0;0;0;0;0;0;0
22317;1;1;10;10;10;0;1;0
21505;1;0;0;0;0;0;0;0
23064;0;1;10;0;0;0;0;0
8190;0;0;0;0;0;0;0;0
3535;0;0;0;0;0;0;0;0
15103;1;1;10;0;0;0;0;0
18246;0;0;0;10;0;0;0;0
23184;0;1;10;10;0;0;0;0
391;0;1;10;10;10;0;0;0
23193;0;0;0;0;0;0;1;0
17604;1;1;0;0;0;0;1;0
18696;0;1;10;0;0;0;1;0
7752;0;0;0;0;0;0;0;0
16945;0;1;10;0;0;0;0;0
21780;1;1;10;0;0;0;0;0
13631;0;1;0;0;0;1;0;0
696;0;1;10;0;0;0;0;0
19407;0;1;10;0;0;0;1;0
7916;0;0;0;0;0;0;0;0
6999;1;0;0;0;0;0;0;0
15440;0;0;0;0;0;0;1;0
16172;0;1;0;0;0;0;0;0
19985;0;1;10;0;0;0;1;0
5447;0;0;0;0;0;0;0;0
23303;1;1;10;0;0;0;0;0
18337;0;0;0;10;0;0;0;0
7367;0;0;0;0;0;0;0;0
6779;0;0;0;0;0;0;0;0
4781;0;0;0;0;0;0;0;0
22398;0;0;10;10;10;0;0;0
16162;1;1;10;10;0;0;1;0
907;0;1;10;0;0;0;0;0
20618;1;1;10;10;0;0;0;0
20573;1;1;10;10;0;0;1;0
568;1;1;10;10;0;0;0;0
23453;1;1;10;10;0;0;1;0
16475;1;1;10;10;10;0;0;0
17513;1;1;10;10;10;0;1;0
2471;0;0;0;0;0;0;0;0
1459;0;0;0;0;0;0;0;0
7463;1;1;0;0;0;0;0;0
4031;0;0;0;0;0;0;0;0
22538;0;1;10;0;0;0;1;0
13865;0;1;10;0;0;0;1;0
23603;0;1;10;10;0;0;0;0
17710;0;1;10;0;0;0;1;0
20627;1;1;10;10;0;0;1;0
16956;0;1;10;0;0;0;1;0
23635;1;1;10;0;0;0;0;0
13736;0;1;10;10;0;1;1;0
23322;1;1;10;0;0;0;0;0
23659;1;1;10;10;10;0;0;0
23670;1;1;10;0;10;0;1;0
19512;0;1;10;10;10;0;1;0
3249;0;0;0;0;0;0;0;0
18448;0;1;10;0;0;0;1;0
23691;0;1;10;10;0;0;0;0
2137;0;0;0;0;10;0;0;0
3989;0;0;0;0;0;0;0;0
4833;0;0;0;0;0;0;0;0
6949;0;0;0;0;0;0;0;0
1021;1;1;10;10;10;0;1;0
23740;0;1;10;10;0;0;1;0
3819;0;0;0;0;0;0;0;0
2188;0;0;0;0;0;0;0;0
13119;0;0;0;0;0;0;0;0
19772;1;1;10;0;0;0;1;0
7527;1;0;10;10;10;0;0;0
